Data_Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2023-06-30,77.6,957.0686111111112,957.2940277777777,956.8451388888889,631.7633333333333,19.596111111111114,11.414861111111112,20.285555555555558,18.89986111111111,11.935416666666667,10.90236111111111,65.78611111111111,60.290277777777774,62.96527777777778,126.97218358831711,5.18970792767733,2.6874826147426982
2023-07-31,4.6,956.2900537634409,956.5120967741935,956.0692204301075,647.1268817204301,22.243548387096777,12.005779569892471,22.985080645161293,21.504301075268817,12.51975806451613,11.495564516129033,57.96370967741935,52.26881720430107,55.119623655913976,123.47715053763442,6.415994623655914,3.3525537634408606
2023-08-31,47.0,953.600940860215,953.869623655914,953.3434139784946,693.4599462365592,24.65766129032258,13.409543010752689,25.39704301075269,23.94233870967742,13.888440860215054,12.939650537634408,56.068548387096776,50.86827956989247,53.47043010752688,140.96102150537635,6.734811827956989,3.459543010752688
2023-09-30,58.400000000000006,952.1138888888889,952.38625,951.8494444444444,799.3954166666666,26.44472222222222,16.000555555555554,27.22611111111111,25.690416666666664,16.57347222222222,15.429305555555556,58.393055555555556,52.2125,55.34861111111111,150.92638888888888,6.766527777777777,3.373194444444444
2023-10-31,15.4,950.0079301075269,950.3126344086021,949.7063172043011,888.6861559139785,28.09462365591398,18.311693548387098,28.843145161290323,27.37244623655914,18.8119623655914,17.841129032258063,60.76747311827957,55.229838709677416,57.95161290322581,170.03225806451613,7.394354838709677,3.544489247311828
2023-11-30,114.4,949.8458333333333,950.1454166666666,949.5469444444445,909.9122222222223,27.989305555555553,16.96902777777778,28.721944444444443,27.233055555555556,17.4775,16.429444444444446,58.147222222222226,52.6125,55.330555555555556,178.3361111111111,7.344444444444444,3.4520833333333334
2023-12-31,210.4,950.7116935483871,951.0138440860215,950.4065860215054,960.0243279569892,27.28010752688172,19.851344086021506,28.023924731182795,26.53991935483871,20.469220430107526,19.211021505376344,69.91801075268818,62.70161290322581,66.35483870967742,162.70833333333334,5.663257065948856,2.595967741935484
2024-01-31,93.2,950.9547043010754,951.2434139784946,950.6631720430108,941.4680107526881,26.379032258064516,19.79072580645161,27.094220430107526,25.703629032258064,20.411827956989246,19.216532258064518,72.70833333333333,65.83198924731182,69.30510752688173,188.25,5.2192204301075265,2.3506720430107526
2024-02-29,104.2,952.2211206896552,952.503591954023,951.9419540229885,883.1540229885056,25.957183908045977,20.257471264367815,26.69626436781609,25.241522988505746,20.83103448275862,19.70359195402299,76.21264367816092,68.97844827586206,72.64655172413794,183.558908045977,4.84382183908046,2.1336206896551726
2024-03-31,19.0,951.9716397849463,952.2456989247313,951.694623655914,835.5676075268818,26.93978494623656,20.50483870967742,27.657526881720432,26.265860215053763,20.996505376344086,20.03333333333333,72.79569892473118,66.44489247311827,69.67069892473118,163.88306451612902,5.622177419354839,2.6458333333333335
2024-04-30,133.0,952.3597222222222,952.6097222222222,952.1077777777778,721.9501388888889,25.582222222222224,19.31416666666667,26.2575,24.93208333333333,19.804305555555555,18.850555555555555,73.35,67.55694444444444,70.50694444444444,133.13194444444446,5.1375,2.5425
2024-05-31,21.0,954.7260752688171,954.9469086021505,954.4994623655914,611.7548387096774,22.451075268817203,14.83763440860215,23.07177419354839,21.84771505376344,15.258870967741936,14.468548387096774,67.22715053763442,62.471774193548384,64.84677419354838,152.98790322580646,5.725,2.8836021505376346
2024-06-30,0.0,954.86643454039,955.0880055788006,954.6430962343096,663.0565459610027,24.087047353760447,11.654038997214485,24.846025104602507,23.341283124128314,12.100278940027893,11.242259414225941,50.60529986052999,45.74755927475593,48.098885793871865,122.0849582172702,6.307531380753138,3.265041782729805
2024-07-31,6.4,957.5111559139785,957.7510752688173,957.2720430107527,631.6065860215053,21.40954301075269,8.982123655913979,22.188440860215056,20.648252688172043,9.407795698924732,8.549059139784946,53.11290322580645,48.52956989247312,50.814516129032256,122.69354838709677,6.403629032258065,3.3349462365591394
2024-08-31,41.800000000000004,955.9118279569893,956.1786290322581,955.6422043010754,714.0471774193549,23.386424731182796,5.786693548387097,24.135349462365593,22.64489247311828,6.316129032258064,5.26505376344086,39.46236559139785,35.611559139784944,37.513440860215056,121.33333333333333,7.395698924731183,3.8481182795698925
2024-09-30,52.800000000000004,952.3631944444444,952.6605555555556,952.0876388888888,752.8123611111112,27.39875,10.565,28.21361111111111,26.599027777777778,11.118333333333332,10.0025,42.827777777777776,38.19027777777778,40.49027777777778,127.83611111111111,7.331388888888889,3.758888888888889
2024-10-31,75.0,951.0799461641992,951.3802153432032,950.7911170928668,789.0763122476446,27.21763122476447,16.797039030955588,27.92382234185734,26.52974427994616,17.342664872139974,16.238627187079405,60.34589502018842,54.76850605652759,57.63746630727763,142.58950201884252,6.539569313593539,3.1176312247644686
2024-11-30,98.2,949.8332406119611,950.1222531293463,949.5442280945758,903.136578581363,26.129346314325453,18.721696801112657,26.864951321279555,25.449652294853962,19.2778859527121,18.16230876216968,69.25452016689847,62.94853963838665,66.16133518776078,159.27855153203342,5.765877437325905,2.6669916434540393
2024-12-31,136.0,950.1653225806451,950.4479838709678,949.8807795698925,879.7086021505376,25.4877688172043,19.36787634408602,26.14905913978495,24.868145161290325,19.912365591397847,18.82016129032258,73.82930107526882,67.75403225806451,70.88844086021506,209.05241935483872,5.348521505376344,2.4510752688172044
2025-01-31,50.8,950.1971774193548,950.4880376344086,949.9072580645161,941.6572580645161,26.139112903225808,19.463978494623657,26.9377688172043,25.388844086021503,20.089381720430108,18.838037634408604,72.3225806451613,65.33736559139786,68.97177419354838,202.57930107526883,5.230913978494624,2.33252688172043
2025-02-28,116.8,951.809375,952.1199404761904,951.4949404761904,847.6782738095238,25.394791666666666,19.56458333333333,26.181994047619046,24.672619047619047,20.12797619047619,18.98839285714286,75.51488095238095,68.39583333333333,72.10565476190476,157.59314456035767,5.225446428571429,2.344113263785395
2025-03-31,190.8,953.1008064516129,953.3758064516129,952.8245967741935,811.076747311828,25.489247311827956,19.25215053763441,26.214381720430108,24.793279569892473,19.870430107526882,18.683736559139785,73.88306451612904,66.96908602150538,70.4502688172043,144.90994623655914,5.012903225806451,2.300268817204301
2025-04-30,204.6,952.785,953.0556944444444,952.5150000000001,616.8194444444445,23.55388888888889,19.15486111111111,24.134166666666665,23.032083333333333,19.588194444444444,18.763472222222223,80.03888888888889,75.13055555555556,77.69027777777778,145.65972222222223,5.33625,2.5118055555555556
2025-05-31,68.2,955.667876344086,955.8876344086021,955.4389784946236,713.5286290322581,22.55537634408602,15.03763440860215,23.206586021505377,21.917069892473116,15.504435483870967,14.575403225806452,67.375,62.01209677419355,64.72715053763442,119.06586021505376,6.071102150537634,3.057258064516129
2025-06-30,28.2,955.9947222222222,956.22125,955.7615277777778,561.5408333333334,20.40013888888889,14.156666666666666,21.01888888888889,19.807916666666667,14.600416666666666,13.73236111111111,71.91527777777777,66.89166666666667,69.42777777777778,146.45138888888889,5.913055555555555,2.9275
2025-07-31,6.6,958.3466307277628,958.5706199460917,958.1293800539083,705.4125336927224,20.400943396226417,9.509703504043127,21.16657681940701,19.609838274932613,9.985579514824797,9.030053908355795,55.63746630727763,50.38544474393531,52.93126684636118,116.9622641509434,6.433692722371968,3.3788409703504043
2025-08-31,19.8,956.1689098250337,956.4184387617767,955.9242261103633,770.178331090175,21.931897711978465,8.659219380888292,22.730686406460297,21.15827725437416,9.158950201884254,8.164602960969045,49.83849259757739,45.01345895020189,47.39434724091521,128.86406460296098,6.877254374158816,3.5808882907133244
2025-09-30,13.0,953.7844444444445,954.0572222222222,953.5137500000001,835.9398611111111,26.865694444444443,11.12263888888889,27.699305555555554,26.059305555555557,11.662638888888889,10.605972222222222,43.63194444444444,38.958333333333336,41.265277777777776,136.73611111111111,8.10375,4.091944444444445
2025-10-31,88.0,952.7481632653062,953.0428571428571,952.4504761904761,825.0859863945577,25.322857142857142,14.935646258503402,26.04122448979592,24.652380952380952,15.423945578231294,14.489659863945578,59.010884353741496,54.06122448979592,56.51156462585034,144.14013605442176,7.8172789115646255,3.8291156462585034
2025-11-30,171.6,950.9395833333333,951.2269444444445,950.6520833333333,953.845,25.676944444444448,15.48125,26.447083333333335,24.943333333333335,16.163055555555555,14.86375,60.326388888888886,54.105555555555554,57.166666666666664,147.75277777777777,6.620138888888889,3.159861111111111
2025-12-31,243.6,949.5377358490566,949.8420485175203,949.2305929919137,908.7312668463611,25.571563342318058,19.95822102425876,26.243935309973047,24.92102425876011,20.48881401617251,19.41954177897574,75.82210242587601,69.43261455525607,72.69407008086253,189.6509433962264,5.921967654986523,2.6642857142857146
2026-01-31,151.4,951.4219047619048,951.702857142857,951.1447619047619,1058.4061224489797,25.573333333333334,18.629931972789116,26.363809523809525,24.830748299319726,19.28108843537415,18.029387755102043,71.2,64.12517006802722,67.71428571428571,169.6503401360544,5.788027210884353,2.5904761904761906
